,Artiste1,Artiste2
6850,Buddy DeFranco,Gene Krupa
6863,Roy Eldridge,Gene Krupa
7007,Herbie Hancock,Chick Corea
7103,Buddy DeFranco,Wardell Gray
7179,Phil Woods,Charlie Barnet
7229,Doc Cheatham,Sam Wooding
7236,Doc Cheatham,Earle Warren
7259,Doc Cheatham,Chick Webb
7269,Doc Cheatham,Morey Feld
7272,Doc Cheatham,Hank Jones
7288,Doc Cheatham,Cab Calloway
7316,Abbey Lincoln,Cab Calloway
7539,McCoy Tyner,Alice Coltrane
7586,McCoy Tyner,Billy Higgins
7592,McCoy Tyner,Elvin Jones
7613,Jimmy Owens (musician),McCoy Tyner
7639,Jimmy Owens (musician),Elvin Jones
7642,Delfeayo Marsalis,Elvin Jones
7663,Roy Haynes,Sidney Bechet
7679,Danny Barker,Sidney Bechet
7755,Dave Brubeck,Louie Bellson
7907,Louie Bellson,Don Abney
7960,Louie Bellson,Cat Anderson
8329,Jane Jarvis,Roy Eldridge
8335,Marian McPartland,Roy Eldridge
8346,Roy Eldridge,Charlie Christian
8455,Roy Eldridge,Jabbo Smith
8525,Roy Eldridge,Chu Berry
8553,Roy Eldridge,Sid Catlett
8575,Roy Eldridge,Herb Alpert
8593,Roy Eldridge,George Benson
8669,John Levy (musician),Stuff Smith
8723,John Levy (musician),George Shearing
8750,John Levy (musician),Dakota Staton
8829,John Levy (musician),Tony Bennett
8876,Roy Haynes,Art Blakey
8916,Jimmy Owens (musician),Art Blakey
8920,Slide Hampton,Art Blakey
8926,Mary Lou Williams,Art Blakey
8933,Delfeayo Marsalis,Art Blakey
8939,Vi Redd,Art Blakey
8957,Herbie Hancock,George Shearing
8969,Charles McPherson (musician),Pete Candoli
8984,Slide Hampton,Benny Golson
8993,Jimmy Owens (musician),Eddie Daniels
9056,Dave Brubeck,Chris Brubeck
9083,Dave Brubeck,Gil Evans
9107,Dave Brubeck,Jimmy Blanton
9267,Dave Brubeck,Tal Farlow
