"","x"
"1039","Frank Foster (musician)"
"1040","Gene Perla"
"1041","Frank Foster (musician)"
"1042","Wayman Carver"
"1043","Frank Foster (musician)"
"1044","Dick Griffin"
"1045","Frank Foster (musician)"
"1046","Makanda Ken McIntyre"
"1047","Frank Foster (musician)"
"1048","Kenny Clarke"
"1049","Frank Foster (musician)"
"1050","Neal Hefti"
"1051","Frank Foster (musician)"
"1052","Julius Watkins"
"1053","Frank Foster (musician)"
"1054","Baby Face Willette"
"1055","Frank Foster (musician)"
"1056","Buck Clayton"
"1057","Frank Foster (musician)"
"1058","John Hicks (jazz pianist)"
"1059","Frank Foster (musician)"
"1060","Cab Calloway"
"1061","Frank Foster (musician)"
"1062","Cecil Bridgewater"
"1063","Frank Foster (musician)"
"1064","Horace Silver"
"1065","Frank Foster (musician)"
"1066","Max Roach"
"1067","Frank Foster (musician)"
"1068","Elvin Jones"
"1069","Frank Foster (musician)"
"1070","O. C. Smith"
"1071","Frank Foster (musician)"
"1072","Bill Johnson (reed player)"
"1073","Frank Foster (musician)"
"1074","Wes Montgomery"
"1075","Frank Foster (musician)"
"1076","Mel Lewis"
"1077","Frank Foster (musician)"
"1078","Harry Edison"
"1079","Frank Foster (musician)"
"1080","McCoy Tyner"
"1081","Frank Foster (musician)"
